ticker,price,prob_5pct_30d,confidence,tau,exp_30d_return,pi_low,pi_high,pi_width,decision,reason,atr_pct,size,stop,target1,dma200,adx14,mom_60,gates_pass,gates_reason,actionable,weight
META,661.530029296875,0.6036421519043761,0.6036421519043761,0.6204263671600725,-0.0905134782490555,-0.2532349978233753,0.0722080413252642,0.3254430391486396,UNSURE,low confidence (0.60 < tau 0.62),0.022693048315717,0.0240768670768519,691.5542951311384,595.3770263671876,-0.0141269785126792,51.83782561501988,-0.119688632267528,False,Price below DMA200,False,0.0
XOM,117.13999938964844,0.4057082903377493,0.5942917096622506,0.6204263671600725,-0.0427444454629089,-0.2054659650372287,0.1199770741114109,0.3254430391486396,UNSURE,low confidence (0.59 < tau 0.62),0.0188907021445392,0.0091800589292573,121.56571306501117,105.4259994506836,0.0736784770754885,8.344646325120111,0.0503517471402052,False,ADX too low,False,0.05
JNJ,202.47999572753903,0.5812339641728086,0.5812339641728086,0.6204263671600725,-0.0691690716622209,-0.2318905912365407,0.0935524479120988,0.3254430391486396,UNSURE,low confidence (0.58 < tau 0.62),0.0144738237083732,0.0277766363128546,208.3413152528042,182.23199615478515,0.2063121891631491,66.80870524923795,0.1591421055132615,True,0,False,0.05
HD,351.1700134277344,0.4220234486003183,0.5779765513996817,0.6204263671600725,0.0324008974579446,-0.1303206221163751,0.1951224170322644,0.3254430391486396,UNSURE,low confidence (0.58 < tau 0.62),0.0248431931174689,0.0055040986149771,333.7216445064356,386.2870147705078,-0.0530011953499508,52.60797439744709,-0.144686240704698,False,Price below DMA200,False,0.0
TSLA,454.5299987792969,0.5777231725904219,0.5777231725904219,0.6204263671600725,-0.0004349862556419,-0.1631565058299617,0.1622865333186778,0.3254430391486396,UNSURE,low confidence (0.58 < tau 0.62),0.0373038358308505,6.736616598415691e-05,488.44142368861606,409.0769989013672,0.3286974708712806,41.24209624291719,0.3069093062246153,False,Expected move too small,False,0.05
V,327.1000061035156,0.4315385260892874,0.5684614739107126,0.6204263671600725,0.0338854967982195,-0.1288360227761003,0.1966070163725393,0.3254430391486396,UNSURE,low confidence (0.57 < tau 0.62),0.0167357998134345,0.0087374953734619,316.1514456612723,359.8100067138672,-0.0488240497241923,37.61602494733504,-0.0306756982723124,False,Price below DMA200,False,0.0
AMZN,229.1100006103516,0.5573176459083202,0.5573176459083202,0.6204263671600725,0.022102767042662,-0.1406187525316577,0.1848242866169818,0.3254430391486396,UNSURE,low confidence (0.56 < tau 0.62),0.0243862901202554,0.0050513063018325,217.9357147216797,252.02100067138676,0.0667907096751824,50.03802948525311,-0.0052967534016605,False,Expected move too small,False,0.01481280594069031
DIS,105.47000122070312,0.4441619065220736,0.5558380934779263,0.6204263671600725,0.0140277723136929,-0.1486937472606268,0.1767492918880127,0.3254430391486396,UNSURE,low confidence (0.56 < tau 0.62),0.0212653468851456,0.0029299320292111,100.98428889683316,116.01700134277344,-0.0367602045722244,36.3090681558637,-0.0891268642648427,False,Price below DMA200,False,0.0
NVDA,183.3800048828125,0.5549769359493053,0.5549769359493053,0.6204263671600725,-0.0670051124444039,-0.2297266320187237,0.0957164071299158,0.3254430391486396,UNSURE,low confidence (0.55 < tau 0.62),0.0375235200259545,0.0099101288929217,197.1421314539722,165.04200439453126,0.1868656888643718,67.8043030020741,0.0342330685099401,True,0,False,0.04559226728516906
CVX,152.25999450683594,0.450087172048799,0.5499128279512009,0.6204263671600725,-0.0290138381,-0.1917353576743198,0.1337076814743197,0.3254430391486396,UNSURE,low confidence (0.55 < tau 0.62),0.0156767651135506,0.0083300070174701,157.03388284698428,137.03399505615235,0.0310611086616359,23.62207685669124,-0.0242694912184839,False,Expected move too small,False,0.028958037618461396
